method,dataset,centroids,num_iterations,initial_training_accuracy,final_training_accuracy,initial_testing_accuracy,final_testing_accuracy,f1_score,precision,recall,training_time,circuit_executions,initial_kernel_alignment,final_kernel_alignment
quackKTA,corners,2.0,20,0.95,0.94,0.83,0.82,0.8193496587715776,0.8316912972085386,0.8237179487179487,76.261989083,4494100,0.1977996677160263,0.2566145360469818
quackKTA,corners,4.0,20,0.95,0.94,0.83,0.82,0.8193496587715776,0.8316912972085386,0.8237179487179487,76.82942270800004,4494100,0.1977996677160263,0.2566145360469818
quackKTA,corners,6.0,20,0.95,0.94,0.83,0.82,0.8193496587715776,0.8316912972085386,0.8237179487179487,76.74124629200003,4494100,0.1977996677160263,0.2566145360469818
quackKTA,corners,8.0,20,0.95,0.94,0.83,0.82,0.8193496587715776,0.8316912972085386,0.8237179487179487,75.16450958299993,4494100,0.1977996677160263,0.2566145360469818
quackKTA,corners,10.0,20,0.95,0.94,0.83,0.82,0.8193496587715776,0.8316912972085386,0.8237179487179487,76.30632066699991,4494100,0.1977996677160263,0.2566145360469818
centroidBasedKTA,corners,2.0,200,0.95,0.95,0.83,0.92,0.9199679871948779,0.9199999999999999,0.9206730769230769,37.238615208000056,433700,0.1664721816778183,0.18264666199684143
centroidBasedKTA,corners,4.0,200,0.95,0.98,0.83,0.91,0.90999099909991,0.9126856684062625,0.9118589743589745,36.37796400000002,435300,0.1503462940454483,0.14878393709659576
centroidBasedKTA,corners,6.0,200,0.95,0.97,0.83,0.95,0.9499949994999499,0.9505802320928372,0.9511217948717949,35.777524458000016,436900,0.1713453233242035,0.18267479538917542
centroidBasedKTA,corners,8.0,200,0.95,0.99,0.83,0.92,0.9199679871948779,0.9243156199677939,0.922275641025641,38.675152749999825,438500,0.18077000975608826,0.15811343491077423
centroidBasedKTA,corners,10.0,200,0.95,0.98,0.83,0.94,0.9399759903961584,0.94,0.9407051282051282,38.00025075000008,440100,0.1927756369113922,0.1723383218050003
greedyKTA,corners,2.0,20,0.95,0.97,0.83,0.9,0.8998397435897436,0.8998397435897436,0.8998397435897436,25.43407400000001,439056,0.19606539607048035,0.21025188267230988
greedyKTA,corners,4.0,20,0.95,0.98,0.83,0.94,0.9399759903961584,0.94,0.9407051282051282,23.247206374999905,439070,0.19606539607048035,0.1829756796360016
greedyKTA,corners,6.0,20,0.95,0.97,0.83,0.86,0.859775641025641,0.859775641025641,0.859775641025641,23.204624749999994,439092,0.19606539607048035,0.21276073157787323
greedyKTA,corners,8.0,20,0.95,0.98,0.83,0.91,0.9099189270343309,0.9097639055622249,0.9102564102564102,25.907934291999936,439122,0.19606539607048035,0.20057135820388794
greedyKTA,corners,10.0,20,0.95,0.97,0.83,0.88,0.8795664391810518,0.8808373590982286,0.8790064102564102,23.869299457999887,439160,0.19606539607048035,0.18254519999027252
fullKTA,corners,,30,0.95,0.99,0.83,0.95,0.9499549594635172,0.949779911964786,0.9503205128205128,21.574529083000016,628150,0.19606539607048035,0.4280519485473633
randomKTA,corners,2.0,30,0.95,0.96,0.83,0.85,0.849624060150376,0.8598531211750307,0.8533653846153846,20.06409174999999,618056,0.19606539607048035,0.1871349960565567
randomKTA,corners,4.0,30,0.95,0.95,0.83,0.91,0.90999099909991,0.9105642256902762,0.9110576923076923,22.835094833000085,618070,0.19606539607048035,0.22688594460487366
