method,dataset,centroids,num_iterations,initial_training_accuracy,final_training_accuracy,initial_testing_accuracy,final_testing_accuracy,f1_score,precision,recall,training_time,circuit_executions,initial_kernel_alignment,final_kernel_alignment
centroidBasedKTA,donuts,8.0,500,0.8833333333333333,1.0,0.8833333333333333,0.8666666666666667,0.8666666666666667,0.867630700778643,0.867630700778643,51.390585915999964,389860,0.08763590455055237,0.13307401537895203
centroidBasedKTA,donuts,10.0,500,0.8833333333333333,0.9833333333333333,0.8833333333333333,0.8666666666666667,0.8666666666666667,0.867630700778643,0.867630700778643,51.868092540999896,393860,0.1271224021911621,0.1266811490058899
greedyKTA,donuts,2.0,50,0.8833333333333333,0.8166666666666667,0.8833333333333333,0.75,0.7499305362600722,0.75,0.7502780867630701,23.02443737500016,403436,0.11800495535135269,0.0671691745519638
greedyKTA,donuts,4.0,50,0.8833333333333333,0.8833333333333333,0.8833333333333333,0.8166666666666667,0.8162071846282373,0.8246606334841629,0.8192436040044494,23.500759791999826,403450,0.11800495535135269,0.08911939710378647
greedyKTA,donuts,6.0,50,0.8833333333333333,0.95,0.8833333333333333,0.8666666666666667,0.8666666666666667,0.867630700778643,0.867630700778643,24.150167750000037,403472,0.11800495535135269,0.13499552011489868
greedyKTA,donuts,8.0,50,0.8833333333333333,0.9833333333333333,0.8833333333333333,0.7833333333333333,0.7827903091060986,0.7907239819004526,0.78587319243604,24.860248666999723,403502,0.11800495535135269,0.1481744647026062
greedyKTA,donuts,10.0,50,0.8833333333333333,0.9333333333333333,0.8833333333333333,0.8333333333333334,0.8331479421579533,0.8383838383838383,0.8353726362625139,24.587467375000415,403540,0.11800495535135269,0.09500313550233841
fullKTA,donuts,,60,0.8833333333333333,1.0,0.8833333333333333,0.8166666666666667,0.8162071846282373,0.8246606334841629,0.8192436040044494,26.709927709000112,444690,0.11800495535135269,0.37484389543533325
randomKTA,donuts,2.0,60,0.8833333333333333,0.9166666666666666,0.8833333333333333,0.8333333333333334,0.8331479421579533,0.8383838383838383,0.8353726362625139,19.447104459000002,441036,0.11800495535135269,0.13822688162326813
randomKTA,donuts,4.0,60,0.8833333333333333,1.0,0.8833333333333333,0.8333333333333334,0.8331479421579533,0.8383838383838383,0.8353726362625139,19.299201832999643,441050,0.11800495535135269,0.16523003578186035
randomKTA,donuts,6.0,60,0.8833333333333333,0.95,0.8833333333333333,0.8,0.7991071428571428,0.8114285714285714,0.8031145717463849,19.668964666000647,441072,0.11800495535135269,0.20997390151023865
randomKTA,donuts,8.0,60,0.8833333333333333,1.0,0.8833333333333333,0.85,0.8499583217560434,0.8500000000000001,0.850389321468298,20.729190707999805,441102,0.11800495535135269,0.2224426418542862
randomKTA,donuts,10.0,60,0.8833333333333333,1.0,0.8833333333333333,0.8333333333333334,0.8331479421579533,0.8383838383838383,0.8353726362625139,20.565351250000276,441140,0.11800495535135269,0.25785568356513977
quackKTA,donuts,2.0,60,0.8833333333333333,0.9833333333333333,0.8833333333333333,0.8166666666666667,0.8166157265907197,0.8191964285714286,0.818131256952169,106.73893912499989,4878060,0.1174861267209053,0.15577515959739685
quackKTA,donuts,4.0,60,0.8833333333333333,0.9833333333333333,0.8833333333333333,0.8166666666666667,0.8166157265907197,0.8191964285714286,0.818131256952169,100.40655287499976,4878060,0.1174861267209053,0.15577515959739685
quackKTA,donuts,6.0,60,0.8833333333333333,0.9833333333333333,0.8833333333333333,0.8166666666666667,0.8166157265907197,0.8191964285714286,0.818131256952169,107.03297929099972,4878060,0.1174861267209053,0.15577515959739685
quackKTA,donuts,8.0,60,0.8833333333333333,0.9833333333333333,0.8833333333333333,0.8166666666666667,0.8166157265907197,0.8191964285714286,0.818131256952169,100.2711921250002,4878060,0.1174861267209053,0.15577515959739685
quackKTA,donuts,10.0,60,0.8833333333333333,0.9833333333333333,0.8833333333333333,0.8166666666666667,0.8166157265907197,0.8191964285714286,0.818131256952169,107.70594733400048,4878060,0.1174861267209053,0.15577515959739685
centroidBasedKTA,donuts,2.0,600,0.8833333333333333,1.0,0.8833333333333333,0.8666666666666667,0.8665183537263625,0.8720538720538721,0.8687430478309233,57.79593383300016,451260,0.14359112083911896,0.1383378505706787
centroidBasedKTA,donuts,4.0,600,0.8833333333333333,1.0,0.8833333333333333,0.9166666666666666,0.9166435120866907,0.9196428571428572,0.9182424916573971,59.072432500000104,456060,0.14394433796405792,0.14111125469207764
centroidBasedKTA,donuts,6.0,600,0.8833333333333333,0.9833333333333333,0.8833333333333333,0.8666666666666667,0.8665183537263625,0.8665183537263625,0.8665183537263625,51.692426666000756,460860,0.14378607273101807,0.13850311934947968
centroidBasedKTA,donuts,8.0,600,0.8833333333333333,1.0,0.8833333333333333,0.8666666666666667,0.8666666666666667,0.867630700778643,0.867630700778643,58.38171804199919,465660,0.08763590455055237,0.10635941475629807
centroidBasedKTA,donuts,10.0,600,0.8833333333333333,0.9833333333333333,0.8833333333333333,0.8666666666666667,0.8666666666666667,0.867630700778643,0.867630700778643,59.36111383299976,470460,0.1271224021911621,0.1584206223487854
greedyKTA,donuts,2.0,60,0.8833333333333333,0.9166666666666666,0.8833333333333333,0.85,0.8499583217560434,0.8526785714285714,0.8515016685205784,24.623200333000568,483036,0.11800495535135269,0.12145150452852249
greedyKTA,donuts,4.0,60,0.8833333333333333,0.8666666666666667,0.8833333333333333,0.8333333333333334,0.8331479421579533,0.8331479421579533,0.8331479421579533,24.547576124999978,483050,0.11800495535135269,0.11485284566879272
greedyKTA,donuts,6.0,60,0.8833333333333333,0.8166666666666667,0.8833333333333333,0.8333333333333334,0.8325892857142857,0.835016835016835,0.832035595105673,24.98514137500024,483072,0.11800495535135269,0.11813966184854507
